Date,Close,fear_greed_index
2018-02-01,9170.5400390625,30.0
2018-02-02,8830.75,15.0
2018-02-03,9174.91015625,40.0
2018-02-04,8277.009765625,24.0
2018-02-05,6955.27001953125,11.0
2018-02-06,7754.0,8.0
2018-02-07,7621.2998046875,36.0
2018-02-08,8265.58984375,30.0
2018-02-09,8736.98046875,44.0
2018-02-10,8621.900390625,54.0
2018-02-11,8129.97021484375,31.0
2018-02-12,8926.5703125,42.0
2018-02-13,8598.3095703125,35.0
2018-02-14,9494.6298828125,55.0
2018-02-15,10166.400390625,71.0
2018-02-16,10233.900390625,67.0
2018-02-17,11112.7001953125,74.0
2018-02-18,10551.7998046875,63.0
2018-02-19,11225.2998046875,67.0
2018-02-20,11403.7001953125,74.0
2018-02-21,10690.400390625,54.0
2018-02-22,10005.0,44.0
2018-02-23,10301.099609375,39.0
2018-02-24,9813.0703125,31.0
2018-02-25,9664.73046875,33.0
2018-02-26,10366.7001953125,37.0
2018-02-27,10725.599609375,44.0
2018-02-28,10397.900390625,41.0
2018-03-01,10951.0,38.0
2018-03-02,11086.400390625,47.0
2018-03-03,11489.7001953125,56.0
2018-03-04,11512.599609375,44.0
2018-03-05,11573.2998046875,55.0
2018-03-06,10779.900390625,59.0
2018-03-07,9965.5703125,37.0
2018-03-08,9395.009765625,39.0
2018-03-09,9337.5498046875,37.0
2018-03-10,8866.0,39.0
2018-03-11,9578.6298828125,40.0
2018-03-12,9205.1201171875,41.0
2018-03-13,9194.849609375,41.0
2018-03-14,8269.8095703125,40.0
2018-03-15,8300.8603515625,32.0
2018-03-16,8338.349609375,33.0
2018-03-17,7916.8798828125,31.0
2018-03-18,8223.6796875,29.0
2018-03-19,8630.650390625,29.0
2018-03-20,8913.4697265625,37.0
2018-03-21,8929.2802734375,36.0
2018-03-22,8728.4697265625,36.0
2018-03-23,8879.6201171875,28.0
2018-03-24,8668.1201171875,32.0
2018-03-25,8495.7802734375,30.0
2018-03-26,8209.400390625,31.0
2018-03-27,7833.0400390625,24.0
2018-03-28,7954.47998046875,24.0
2018-03-29,7165.7001953125,18.0
2018-03-30,6890.52001953125,12.0
2018-03-31,6973.52978515625,16.0
2018-04-01,6844.22998046875,16.0
